epoch,epoch_time_sec,lr,lr/pg1,lr/pg2,step,train_detach_between_steps,train_loss,train_loss_log10_mae,train_loss_z_mse,train_rollout_steps,train_skip_steps,val_loss,val_loss_log10_mae,val_loss_z_mse
,,,0.0,0.0,0,,,,,,,,,
0,,,,,18648,,,,,,,0.009345203638076782,0.009030882269144058,0.001257268013432622
0,165.50831604003906,9.999462236010004e-07,,,18648,1.0,0.013629092834889889,0.013297690078616142,0.00132532708812505,1.0,0.0,,,
,,,2.0000000000000003e-06,2.0000000000000003e-06,18649,,,,,,,,,
1,,,,,37297,,,,,,,0.01002453826367855,0.009705323725938797,0.0012768458109349012
1,152.32968139648438,2.9999466732988367e-06,,,37297,1.0,0.009737114422023296,0.00942053273320198,0.0012665160465985537,1.0,0.0,,,
,,,4.000000000000001e-06,4.000000000000001e-06,37298,,,,,,,,,
2,,,,,55946,,,,,,,0.010285519994795322,0.009971702471375465,0.001255282200872898
2,152.19610595703125,4.9999448492599186e-06,,,55946,1.0,0.010326284915208817,0.010009204037487507,0.0012682556407526135,1.0,0.0,,,
,,,6e-06,6e-06,55947,,,,,,,,,
3,,,,,74595,,,,,,,0.010757884941995144,0.010443021543323994,0.0012594793224707246
3,152.2123260498047,6.999946890573483e-06,,,74595,1.0,0.010659484192728996,0.010342185385525227,0.0012695412151515484,1.0,0.0,,,
,,,8.000000000000001e-06,8.000000000000001e-06,74596,,,,,,,,,
4,,,,,93244,,,,,,,0.0102235684171319,0.009908366948366165,0.0012607931857928634
4,152.30177307128906,8.999959391076118e-06,,,93244,1.0,0.0105776721611619,0.010260876268148422,0.001267130021005869,1.0,0.0,,,
,,,1e-05,1e-05,93245,,,,,,,,,
5,,,,,111893,,,,,,,0.009495380334556103,0.009178855456411839,0.0012661452637985349
5,153.72283935546875,1.0999941878253594e-05,,,111893,1.0,0.009840333834290504,0.00952332653105259,0.0012681811349466443,1.0,0.0,,,
,,,1.2e-05,1.2e-05,111894,,,,,,,,,
6,,,,,130542,,,,,,,0.008995739743113518,0.008677578531205654,0.0012725929263979197
6,153.6197509765625,1.2999935279367492e-05,,,130542,1.0,0.00921541079878807,0.008898219093680382,0.0012688429560512304,1.0,0.0,,,
,,,1.4000000000000001e-05,1.4000000000000001e-05,130543,,,,,,,,,
7,,,,,149191,,,,,,,0.008765078149735928,0.008450721390545368,0.0012574250577017665
7,153.79820251464844,1.4999942322901916e-05,,,149191,1.0,0.008888177573680878,0.0085719870403409,0.0012647728435695171,1.0,0.0,,,
,,,1.6000000000000003e-05,1.6000000000000003e-05,149192,,,,,,,,,
8,,,,,167840,,,,,,,0.007324914913624525,0.0071234614588320255,0.0008057707455009222
8,152.7102813720703,1.6999998479150236e-05,,,167840,1.0,0.008347482420504093,0.008068275637924671,0.001116822357289493,1.0,0.0,,,
,,,1.8e-05,1.8e-05,167841,,,,,,,,,
9,,,,,186489,,,,,,,0.004944550804793835,0.0048708803951740265,0.00029472244204953313
9,153.42431640625,1.8999946405529045e-05,,,186489,1.0,0.006011406425386667,0.005889395251870155,0.0004879870102740824,1.0,0.0,,,
,,,2e-05,2e-05,186490,,,,,,,,,
10,,,,,205138,,,,,,,0.0038169226609170437,0.003772161900997162,0.00017905035929288715
10,153.39993286132812,2.0999967091483995e-05,,,205138,1.0,0.0043622334487736225,0.004302863497287035,0.00023741842596791685,1.0,0.0,,,
,,,2.2000000000000003e-05,2.2000000000000003e-05,205139,,,,,,,,,
11,,,,,223787,,,,,,,0.003171394346281886,0.0031398136634379625,0.00012630116543732584
11,153.54348754882812,2.299992775078863e-05,,,223787,1.0,0.0035235201939940453,0.00348493130877614,0.00015428796177729964,1.0,0.0,,,
,,,2.4e-05,2.4e-05,223788,,,,,,,,,
12,,,,,242436,,,,,,,0.002793011022731662,0.0027696280740201473,9.35188218136318e-05
12,153.61061096191406,2.499991751392372e-05,,,242436,1.0,0.002993970876559615,0.0029657792765647173,0.0001127211216953583,1.0,0.0,,,
,,,2.6000000000000002e-05,2.6000000000000002e-05,242437,,,,,,,,,
13,,,,,261085,,,,,,,0.0025289165787398815,0.002510695019736886,7.288693450391293e-05
13,153.63919067382812,2.7000111003872007e-05,,,261085,1.0,0.00263400305993855,0.0026122089475393295,8.713369606994092e-05,1.0,0.0,,,
,,,2.8000000000000003e-05,2.8000000000000003e-05,261086,,,,,,,,,
14,,,,,279734,,,,,,,0.002273696009069681,0.0022578712087124586,6.328804738586769e-05
14,153.02830505371094,2.8999857022427022e-05,,,279734,1.0,0.0023883639369159937,0.002370837377384305,7.004218059591949e-05,1.0,0.0,,,
,,,3e-05,3e-05,279735,,,,,,,,,
15,,,,,298383,,,,,,,0.002115977695211768,0.0021033368539065123,5.057074304204434e-05
15,153.47589111328125,3.100012327195145e-05,,,298383,1.0,0.002204274758696556,0.0021900800056755543,5.674285421264358e-05,1.0,0.0,,,
,,,3.2000000000000005e-05,3.2000000000000005e-05,298384,,,,,,,,,
16,,,,,317032,,,,,,,0.0019532842561602592,0.0019426820799708366,4.240287671564147e-05
16,153.57522583007812,3.299988020444289e-05,,,317032,1.0,0.002056470839306712,0.002044480526819825,4.790111051988788e-05,1.0,0.0,,,
,,,3.4000000000000007e-05,3.4000000000000007e-05,317033,,,,,,,,,
17,,,,,335681,,,,,,,0.0019050439586862922,0.0018955180421471596,3.809649933828041e-05
17,153.73915100097656,3.499999002087861e-05,,,335681,1.0,0.0019400158198550344,0.0019296268001198769,4.153215195401572e-05,1.0,0.0,,,
,,,3.6e-05,3.6e-05,335682,,,,,,,,,
18,,,,,354330,,,,,,,0.0018056828994303942,0.0017970623448491096,3.448623829171993e-05
18,153.59161376953125,3.699995795614086e-05,,,354330,1.0,0.0018427399918437004,0.001833514659665525,3.6941961297998205e-05,1.0,0.0,,,
,,,3.8e-05,3.8e-05,354331,,,,,,,,,
19,,,,,372979,,,,,,,0.0017272176919505,0.0017187828198075294,3.374214793439023e-05
19,153.68893432617188,3.8999991375021636e-05,,,372979,1.0,0.0017603118903934956,0.0017519383691251278,3.3509175409562886e-05,1.0,0.0,,,
,,,4e-05,4e-05,372980,,,,,,,,,
20,,,,,391628,,,,,,,0.001704521826468408,0.0016966835828498006,3.135632869089022e-05
