epoch,epoch_time_sec,lr,lr/pg1,lr/pg2,step,train_detach_between_steps,train_loss,train_loss_log10_mae,train_loss_z_mse,train_rollout_steps,train_skip_steps,val_loss,val_loss_log10_mae,val_loss_z_mse
,,,0.0,0.0,0,,,,,,,,,
0,,,,,18648,,,,,,,0.012288953177630901,0.01217484287917614,0.0011411214945837855
0,243.47381591796875,4.999731118005002e-06,,,18648,1.0,0.012603187933564186,0.012486012652516365,0.0011714110150933266,1.0,0.0,,,
,,,9.999999999999999e-06,9.999999999999999e-06,18649,,,,,,,,,
1,,,,,37297,,,,,,,0.009240406565368176,0.009124575182795525,0.001158353639766574
1,230.6318359375,1.4999734958109912e-05,,,37297,1.0,0.010855616070330143,0.010740770027041435,0.0011485180584713817,1.0,0.0,,,
,,,1.9999999999999998e-05,1.9999999999999998e-05,37298,,,,,,,,,
2,,,,,55946,,,,,,,0.004388616885989904,0.004368871450424194,0.00019743044686038047
2,230.23460388183594,2.499972833902575e-05,,,55946,1.0,0.007362930104136467,0.007283297833055258,0.0007963166572153568,1.0,0.0,,,
,,,2.9999999999999997e-05,2.9999999999999997e-05,55947,,,,,,,,,
3,,,,,74595,,,,,,,0.0027324315160512924,0.002724172780290246,8.257425361080095e-05
3,230.34707641601562,3.49997280864045e-05,,,74595,1.0,0.0034083384089171886,0.003395990002900362,0.00012354688078630716,1.0,0.0,,,
,,,3.9999999999999996e-05,3.9999999999999996e-05,74596,,,,,,,,,
4,,,,,93244,,,,,,,0.0018729798030108213,0.0018684236565604806,4.5570774091174826e-05
4,230.38116455078125,4.499976057559252e-05,,,93244,1.0,0.00237409770488739,0.0023678941652178764,6.199805648066103e-05,1.0,0.0,,,
,,,4.9999999999999996e-05,4.9999999999999996e-05,93245,,,,,,,,,
5,,,,,111893,,,,,,,0.0027054501697421074,0.002698197728022933,7.25115169188939e-05
5,230.12596130371094,5.499980034073815e-05,,,111893,1.0,0.0017524067079648376,0.0017481064423918724,4.301992885302752e-05,1.0,0.0,,,
,,,5.9999999999999995e-05,5.9999999999999995e-05,111894,,,,,,,,,
6,,,,,130542,,,,,,,0.001380370813421905,0.0013771995436400175,3.169144838466309e-05
6,230.5613555908203,6.499982555396855e-05,,,130542,1.0,0.0015075241681188345,0.0015040385769680142,3.4831115044653416e-05,1.0,0.0,,,
,,,7e-05,7e-05,130543,,,,,,,,,
7,,,,,149191,,,,,,,0.0013701083371415734,0.001367358723655343,2.7520254661794752e-05
7,230.58502197265625,7.499974890379235e-05,,,149191,1.0,0.0013782404130324721,0.0013751945225521922,3.0521761800628155e-05,1.0,0.0,,,
,,,7.999999999999999e-05,7.999999999999999e-05,149192,,,,,,,,,
8,,,,,167840,,,,,,,0.0012639592168852687,0.0012612708378583193,2.6877289201365784e-05
8,229.88446044921875,8.49997450131923e-05,,,167840,1.0,0.0012877908302471042,0.0012850093189626932,2.7822270567412488e-05,1.0,0.0,,,
,,,8.999999999999999e-05,8.999999999999999e-05,167841,,,,,,,,,
9,,,,,186489,,,,,,,0.0011118369875475764,0.0011098551331087947,1.9836606952594593e-05
9,230.5029296875,9.499983571004122e-05,,,186489,1.0,0.0012203361839056015,0.0012177826138213277,2.5564029783708975e-05,1.0,0.0,,,
,,,9.999999999999999e-05,9.999999999999999e-05,186490,,,,,,,,,
10,,,,,205138,,,,,,,0.0011406977428123355,0.0011385632678866386,2.133330599463079e-05
10,229.8495330810547,0.00010499972995603457,,,205138,1.0,0.0011601243168115616,0.0011576999677345157,2.425872480671387e-05,1.0,0.0,,,
,,,0.00010999999999999998,0.00010999999999999998,205139,,,,,,,,,
11,,,,,223787,,,,,,,0.0011238937731832266,0.001121804118156433,2.0887833670713007e-05
11,230.3197021484375,0.00011499989341245964,,,223787,1.0,0.001105881412513554,0.0011035922216251493,2.291547934873961e-05,1.0,0.0,,,
,,,0.00011999999999999999,0.00011999999999999999,223788,,,,,,,,,
12,,,,,242436,,,,,,,0.0010411316761747003,0.0010391568066552281,1.974478982447181e-05
12,230.27694702148438,0.0001250004133908078,,,242436,1.0,0.0010645928559824824,0.00106240960303694,2.172954918933101e-05,1.0,0.0,,,
,,,0.00013,0.00013,242437,,,,,,,,,
13,,,,,261085,,,,,,,0.0010613457998260856,0.0010593755869194865,1.9704877558979206e-05
13,230.26490783691406,0.0001349997619399801,,,261085,1.0,0.0010349210351705551,0.0010328408097848296,2.083315484924242e-05,1.0,0.0,,,
,,,0.00014,0.00014,261086,,,,,,,,,
14,,,,,279734,,,,,,,0.001019161893054843,0.0010171453468501568,2.0159073756076396e-05
14,230.48709106445312,0.00014500039105769247,,,279734,1.0,0.0010179346427321434,0.0010159383527934551,1.9934737792937085e-05,1.0,0.0,,,
,,,0.00015,0.00015,279735,,,,,,,,,
15,,,,,298383,,,,,,,0.001060697715729475,0.0010586910648271441,2.0059798771399073e-05
15,229.33033752441406,0.00015500029257964343,,,298383,1.0,0.0010021281195804477,0.0010002440540120006,1.881508251244668e-05,1.0,0.0,,,
,,,0.00015999999999999999,0.00015999999999999999,298384,,,,,,,,,
16,,,,,317032,,,,,,,0.0009527715155854821,0.000951148453168571,1.623250136617571e-05
16,229.38668823242188,0.00016500006313435733,,,317032,1.0,0.0009958208538591862,0.0009939359733834863,1.886828067654278e-05,1.0,0.0,,,
,,,0.00016999999999999999,0.00016999999999999999,317033,,,,,,,,,
17,,,,,335681,,,,,,,0.0009709673468023539,0.0009689293801784515,2.0377274267957546e-05
